12/04/2004,1,0,Yambio County 
19/04/2004,4,0,Yambio County 
26/04/2004,4,0,Yambio County 
03/05/2004,4,2,Yambio County 
06/05/2004,7,2,Yambio County 
24/05/2004,19,4,Yambio County 
26/05/2004,20,5,Yambio County 
31/05/2004,25,6,Yambio County 
06/06/2004,28,7,Yambio County 
10/06/2004,30,7,Yambio County 
